Epoch,Total Loss,True Loss,Fake Loss
1,0.6725147111075267,0.18095202733363427,0.44687516029391977
2,0.24159387818404612,0.10623529383114405,0.12305325620940753
3,0.16733624658414303,0.08867178463510106,0.07151314552341187
4,0.1315019225435598,0.07355976519840103,0.05267468786665371
5,0.10706605847392764,0.06094882115721704,0.041924760863184925
6,0.0885275200009346,0.05052300952374934,0.03454955385199615
7,0.07447916971785681,0.04265060227896485,0.028935061075857704
8,0.06342898947851995,0.03642093113490512,0.024552779671336917
9,0.054404431315405045,0.031246458925306794,0.02105270201074226
10,0.04717964098921846,0.027138907755059866,0.01821884802941765
11,0.0412139970277037,0.02375441552805048,0.015872346556612425
12,0.03625660868627686,0.020925714208611428,0.013937176657574518
13,0.032153953053057203,0.018604499234684876,0.012317685037851335
14,0.028672220850629468,0.016621822956949472,0.010954906937799287
15,0.025701467267104556,0.014914414459573372,0.009806411420660362
16,0.02314296010881662,0.013452048426760097,0.008809919615409206
17,0.020922528207302095,0.012177874187805818,0.007949685298704675
18,0.01898796880351645,0.011070958551551614,0.007197281984346255
19,0.017299770350967133,0.010096577980688642,0.006548356424484937
20,0.015810834230589016,0.009243475898568122,0.005970325666878906
21,0.014487609400280887,0.008472957415506247,0.005467865383252502
22,0.013318755118442435,0.007798110148204225,0.005018768067072545
23,0.012273921484925916,0.0071965237547244355,0.0046158160216041985
24,0.011347066690879211,0.006658991818715419,0.004261886142194272
25,0.01050708655800138,0.006175796993608983,0.003937535859378322
26,0.009743391456348557,0.0057226519299937145,0.0036552176977108627
27,0.009056065457739999,0.005325753581044932,0.003391192540792483
28,0.008434469159692525,0.004964489237006222,0.003154527103262289
29,0.007861932061080422,0.004632348267893706,0.0029359851864033523
30,0.007347648777067659,0.004329970432445409,0.0027433438958334067
31,0.006881009674231922,0.004061068833938667,0.0025635825337043824
32,0.006445146298834255,0.003804089927247592,0.0024009602610021827
33,0.0060474153009376355,0.00357084476522037,0.0022514276572370103
34,0.005677559772240264,0.0033533559180796155,0.00211291256959417
35,0.005344300843509181,0.00315900649210172,0.001986631208897701
36,0.005027921803827795,0.002972676312284811,0.0018684049802167077
37,0.004740861577114888,0.002804263671194869,0.0017605435219593345
38,0.004479554867638008,0.0026535383691745143,0.0016600149667023547
39,0.004229029075109533,0.0025055895459705165,0.0015667631889560388
40,0.003997507604903409,0.0023678933536367772,0.0014814674904170845
41,0.0037834589269810487,0.0022408679327262306,0.0014023554411583714
42,0.0035846339206078216,0.002127095441600042,0.0013250349671579899
43,0.003398218504818423,0.0020157362251276415,0.0012568020278454892
44,0.0032221119451735715,0.001911654045605766,0.0011913253543233237
45,0.0030597419078860965,0.0018170709755005584,0.001129700820560434
46,0.0029095641403858157,0.0017276885553396168,0.0010744323205601955
47,0.0027656620434884514,0.0016433650544578483,0.0010202699706756643
48,0.002632701902517251,0.0015665864372359855,0.0009691958706493355
49,0.002507804902935668,0.0014913632085413807,0.0009240378758737022
50,0.002386911718973092,0.001419055628191148,0.000879869146072971
51,0.0022784071009872213,0.0013558134486499642,0.0008387214820166782
